invoice_id,seller_gstin,buyer_gstin,invoice_date,amount,gstn_category,seller_reg_date,buyer_reg_date
INV001,29ABCDE1234F1Z8,33KLMNO9012L3Z7,2024-03-01,4200000,Electronics,2023-11-05,2024-01-08
INV002,33KLMNO9012L3Z7,06ABCDE2468O6Z9,2024-03-01,3800000,Electronics,2024-01-08,2023-08-15
INV003,06ABCDE2468O6Z9,29ABCDE1234F1Z8,2024-03-01,4000000,Electronics,2023-08-15,2023-11-05
INV004,27AAACR5055K1Z5,19PQRST3456M4Z1,2024-02-15,500000,Wholesale,2018-04-12,2016-09-14
INV005,24UVWXY7890N5Z6,07FGHIJ5678K2Z3,2024-01-20,800000,FMCG,2022-03-30,2021-06-20
INV006,29ABCDE1234F1Z8,33KLMNO9012L3Z7,2024-03-15,3500000,Electronics,2023-11-05,2024-01-08
INV007,07FGHIJ5678K2Z3,32FGHIJ1357P7Z4,2024-02-10,650000,Textiles,2021-06-20,2019-12-03
INV008,19PQRST3456M4Z1,32FGHIJ1357P7Z4,2024-01-25,420000,Agriculture,2016-09-14,2019-12-03
INV009,06ABCDE2468O6Z9,24UVWXY7890N5Z6,2024-03-05,1200000,Metals,2023-08-15,2022-03-30
INV010,33KLMNO9012L3Z7,06ABCDE2468O6Z9,2024-03-12,4100000,Electronics,2024-01-08,2023-08-15
